[Round 0, Step 1] Player 1 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 0, Step 2] Player 1 Tank 1 (Sniper) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 0, Step 3] Player 8 Tank 0 (Chaser) -> Action: RotateRight90 | Ammo: 20, Cooldown: 0
[Round 0, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 0, Step 5] Player 3 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 0, Step 6] Player 4 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 0, Step 7] Player 7 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 0, Step 8] Player 2 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 0, Step 9] Player 6 Tank 0 (Chaser) -> Action: RotateRight90 | Ammo: 20, Cooldown: 0
[Round 0, Step 10] Player 5 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 0, Step 11] Player 9 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 0, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 1, Step 1] Player 1 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 1, Step 2] Player 1 Tank 1 (Sniper) -> Action: DoNothing | Ammo: 20, Cooldown: 0
[Round 1, Step 3] Player 8 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 1, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 1, Step 5] Player 3 Tank 0 (Chaser) -> Action: RotateRight45 | Ammo: 20, Cooldown: 0
[Round 1, Step 6] Player 4 Tank 0 (Chaser) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 1, Step 7] Player 7 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 1, Step 8] Player 2 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 1, Step 9] Player 6 Tank 0 (Chaser) -> Action: RotateRight45 | Ammo: 20, Cooldown: 0
[Round 1, Step 10] Player 5 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 1, Step 11] Player 9 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 1, Step 12] Player 9 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 2, Step 1] Player 1 Tank 0 (Chaser) -> Action: RotateLeft45 | Ammo: 20, Cooldown: 0
[Round 2, Step 2] Player 1 Tank 1 (Sniper) -> Action: RotateLeft90 | Ammo: 20, Cooldown: 0
[Round 2, Step 3] Player 8 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 2, Step 4] Player 8 Tank 1 (Sniper) -> Action: GetBattleInfo | Ammo: 20, Cooldown: 0
[Round 2, Step 5] Player 3 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
[Round 2, Step 6] Player 4 Tank 0 (Chaser) -> Action: MoveForward | Ammo: 20, Cooldown: 0
