RotateLeft90, MoveForward, RotateRight90, GetBattleInfo, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, RotateRight90, RotateLeft90, RotateLeft90, GetBattleInfo
MoveForward, DoNothing, MoveForward, GetBattleInfo, RotateRight45, RotateLeft90, MoveForward, MoveForward, RotateRight45, MoveForward, MoveForward, GetBattleInfo
RotateLeft45, RotateLeft90, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, GetBattleInfo
MoveForward, Shoot, RotateLeft45, GetBattleInfo, DoNothing, RotateRight45, RotateLeft45, RotateRight45, RotateLeft45, RotateLeft45, MoveForward, GetBattleInfo
RotateRight45, DoNothing, RotateLeft90, GetBattleInfo, RotateRight45, RotateRight45, RotateLeft90, RotateLeft45, RotateRight90, RotateRight45, RotateRight90, GetBattleInfo
MoveForward, DoNothing, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, MoveForward, RotateRight45, MoveForward, RotateRight45, GetBattleInfo
MoveForward, DoNothing, DoNothing, GetBattleInfo, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, MoveForward, GetBattleInfo
DoNothing, DoNothing, DoNothing, GetBattleInfo, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, RotateLeft45, DoNothing, GetBattleInfo
RotateLeft45, Shoot, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, MoveForward, RotateLeft90, GetBattleInfo
MoveForward, DoNothing, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, GetBattleInfo
DoNothing, DoNothing, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, DoNothing, MoveForward, GetBattleInfo
DoNothing, DoNothing, DoNothing, GetBattleInfo, DoNothing, DoNothing, DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, GetBattleInfo
RotateLeft90, DoNothing, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo
RotateLeft90, Shoot, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, DoNothing, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo
MoveForward, DoNothing, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, DoNothing, MoveForward, MoveForward, MoveForward, GetBattleInfo
DoNothing, DoNothing, DoNothing, GetBattleInfo, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, GetBattleInfo
DoNothing, DoNothing, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft45, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo
DoNothing, DoNothing, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, MoveForward, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo
DoNothing, Shoot, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, DoNothing, MoveForward, MoveForward, MoveForward, GetBattleInfo
DoNothing, DoNothing, DoNothing, GetBattleInfo, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, GetBattleInfo
DoNothing, DoNothing, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo
DoNothing, DoNothing, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo
DoNothing, DoNothing, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, GetBattleInfo
DoNothing, Shoot, DoNothing, GetBattleInfo, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, GetBattleInfo
DoNothing, DoNothing, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo
DoNothing, DoNothing, RotateLeft90, GetBattleInfo, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo
DoNothing, DoNothing, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, GetBattleInfo
DoNothing, DoNothing, DoNothing, GetBattleInfo, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, GetBattleInfo
DoNothing, Shoot, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo, GetBattleInfo
DoNothing, DoNothing, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo, GetBattleInfo
DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, DoNothing, GetBattleInfo, GetBattleInfo
DoNothing, DoNothing, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo, GetBattleInfo
DoNothing, Shoot, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, RotateLeft90, GetBattleInfo, GetBattleInfo
DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo
